iter	MultiClass
154	0.4844351448
155	0.48347655
156	0.4816498874
157	0.478965512
158	0.4771060214
159	0.4752551045
160	0.4737442888
161	0.4723240708
162	0.470431836
163	0.4681813817
164	0.4659231104
165	0.4648255921
166	0.4630534703
167	0.4599983664
168	0.4565973893
169	0.4551221458
170	0.453442782
171	0.4512184632
172	0.4483029931
173	0.4471584581
174	0.445043005
175	0.4434868069
176	0.4414560814
177	0.4396450314
178	0.4374212176
179	0.4362915604
180	0.4340040487
181	0.4327028375
182	0.4306044696
183	0.4283420927
184	0.4270504916
185	0.4251017952
186	0.4236022482
187	0.4218894404
188	0.4199851999
189	0.4183213185
190	0.4173204895
191	0.4161731143
192	0.4144313804
193	0.4134987258
194	0.4122212205
195	0.4107646057
196	0.4098883206
197	0.4090890263
198	0.4076705991
199	0.4067326747
200	0.4052839719
201	0.4043257985
202	0.4030371471
203	0.4021294723
204	0.4005836364
205	0.3988828875
206	0.3972509119
207	0.3960859041
208	0.3947646805
209	0.3937266129
210	0.3924180626
211	0.390885829
212	0.3891984703
213	0.3882976189
214	0.3862872393
215	0.3853805699
216	0.3840247136
217	0.3830870749
218	0.3821812925
219	0.3802615129
220	0.3784289554
221	0.3764709837
222	0.3749022582
223	0.3734395035
224	0.3724509334
225	0.3716229532
226	0.3705900906
227	0.3692238259
228	0.3681998239
229	0.3666543418
230	0.365767886
231	0.3647888739
232	0.3633017609
233	0.362644203
234	0.3621072284
235	0.3614868948
236	0.3600211313
237	0.3589740505
238	0.3577743538
239	0.3564300135
240	0.3551884916
241	0.3539500929
242	0.3528567875
243	0.3510399228
244	0.3500985
245	0.3489668331
246	0.3472182544
247	0.3464954377
248	0.345520696
249	0.3439589745
250	0.3429302418
251	0.3416568915
252	0.3411563633
253	0.3400313161
254	0.339297142
255	0.3385751642
256	0.3378664628
257	0.3371743269
258	0.3367600374
259	0.3351119952
260	0.3336314281
261	0.3327105255
262	0.3318954998
263	0.331278362
264	0.3305291459
265	0.3286159207
266	0.3272274407
267	0.3266446398
268	0.3254064529
269	0.3245688425
270	0.323607295
271	0.3224415668
272	0.321103305
273	0.3201916553
274	0.3185826545
275	0.3176117521
276	0.3166964208
277	0.3159688581
278	0.3148540081
279	0.3145214507
280	0.3138879
281	0.3134005158
282	0.3124304235
283	0.3115943537
284	0.3106085329
285	0.3098094369
286	0.3089033855
287	0.3081172015
288	0.3076404425
289	0.3067036875
290	0.3056065705
291	0.305005258
292	0.3044064551
293	0.3031271084
294	0.3023974707
295	0.3014218791
296	0.300628126
297	0.2996906727
298	0.2990349929
299	0.2984254063
300	0.2976585229
301	0.297092974
302	0.2960570176
303	0.2953477842
304	0.2948715888
305	0.2944135861
306	0.2934466876
307	0.2923598203
308	0.2917926274
309	0.2909050725
310	0.2900964135
311	0.289091543
312	0.2885958145
313	0.288037043
314	0.2873772854
315	0.2867332816
316	0.2861361966
317	0.2851827252
318	0.2842196067
319	0.2835622293
320	0.2830073092
321	0.2822184373
322	0.2818796598
323	0.2811610129
324	0.2801083029
325	0.2790386736
326	0.2785493847
327	0.2779199559
328	0.2773545431
329	0.2766659763
330	0.2758604787
331	0.2755603615
332	0.2751135931
333	0.2745545177
334	0.2741963347
335	0.2730839087
336	0.2725931513
337	0.271499022
338	0.2710542758
339	0.2706320448
340	0.2701986765
341	0.2698720855
342	0.2689790643
343	0.2679854378
344	0.2665072055
345	0.2658496616
346	0.2651116927
347	0.264589393
348	0.2638626141
349	0.263278131
350	0.2621064253
351	0.2613743466
352	0.2604316605
353	0.2597454018
354	0.2588510981
355	0.2580970526
356	0.2576606465
357	0.2572840016
358	0.2568564347
359	0.2563566843
360	0.2554377385
361	0.255096254
362	0.2545706234
363	0.2540497753
364	0.2530209652
365	0.2522996789
366	0.2516880681
367	0.2512222267
368	0.2508269516
369	0.2501665283
370	0.2492071077
371	0.2485829769
372	0.2478339376
373	0.2474464743
374	0.2469462771
375	0.2460086765
376	0.2453014801
377	0.2450739591
378	0.2448115712
379	0.2437232687
380	0.243117798
381	0.2426421768
382	0.242026587
383	0.2414790801
384	0.2410695137
385	0.2408203219
386	0.2402490266
387	0.2398372503
388	0.2394933443
389	0.2387870481
390	0.2385182479
391	0.2381800565
392	0.2372837532
393	0.2368031846
394	0.2357458891
395	0.2355134936
396	0.2350289823
397	0.2345666969
398	0.2339438113
399	0.2336310112
400	0.2330299118
401	0.2325341304
402	0.2319807593
403	0.2315316628
404	0.2309796134
405	0.2307631756
406	0.2303674089
407	0.2298546719
408	0.2288560342
409	0.2284233293
410	0.2278267269
411	0.2274752196
412	0.2270934206
413	0.2263141838
414	0.2260182337
415	0.22536885
416	0.2246619431
417	0.2240247353
418	0.2236072061
419	0.2230324554
420	0.2225489468
421	0.2221988146
422	0.2214016165
423	0.2208272149
424	0.2203278876
425	0.2191762456
426	0.2187150875
427	0.2182821676
428	0.2179421908
429	0.2170549311
430	0.2166153525
431	0.2161083548
432	0.215438747
433	0.2148311506
434	0.2144866443
435	0.2138642668
436	0.2134507487
437	0.2130152929
438	0.212717996
439	0.2120940238
440	0.2116822134
441	0.2109528289
442	0.2102359561
443	0.2098320175
444	0.2096251728
445	0.209177147
446	0.2087672191
447	0.2082869986
448	0.2079971899
449	0.2077775407
450	0.2075315021
451	0.2072573605
452	0.206935975
453	0.2064866366
454	0.2060300519
455	0.2055665599
456	0.2050446624
457	0.2044873935
458	0.2041770512
459	0.203881799
460	0.2035048177
461	0.203007676
462	0.2026257646
463	0.2021262682
464	0.2014162096
465	0.2010908885
466	0.2007868791
467	0.2003112472
468	0.2000155858
469	0.1997747496
470	0.1991511999
471	0.1989422593
472	0.1983760304
473	0.1978723252
474	0.1971562398
475	0.1966804369
476	0.1963507336
477	0.1962104986
478	0.1956406625
479	0.1953148254
480	0.1947334497
481	0.1943402283
482	0.1935376893
483	0.1932685011
484	0.1927648891
485	0.1924443827
486	0.1922152342
487	0.1918804712
488	0.1915827975
489	0.1912027167
490	0.1908214329
491	0.190625892
492	0.1902647214
493	0.1896077867
494	0.1893238925
495	0.1891108569
496	0.1884839932
497	0.1877015122
498	0.187352807
499	0.1871528421
500	0.1866916731
501	0.1862004379
502	0.1859433236
503	0.1857519022
504	0.1853142042
505	0.1846902888
506	0.1843442856
507	0.1839030956
508	0.1837202166
509	0.183307573
510	0.1829206831
511	0.182266946
512	0.1818598666
513	0.1815432426
514	0.1810980116
515	0.1807281738
516	0.1802046139
517	0.1799137354
518	0.1796703642
519	0.1794889864
520	0.179260432
521	0.1789209948
522	0.1784791171
523	0.1781968173
524	0.1778560296
525	0.1772262605
526	0.1768706238
527	0.176545922
528	0.175896978
529	0.1756324396
530	0.1752285734
531	0.1751024735
532	0.1748080063
533	0.174504994
534	0.1741653228
535	0.1735971935
536	0.1730919805
537	0.1727223198
538	0.1725305695
539	0.1720606186
540	0.171662743
541	0.1713349223
542	0.1708274049
543	0.1706356427
544	0.1703894622
545	0.1701696409
546	0.1699075177
547	0.1696185979
548	0.1691397252
549	0.1689756863
550	0.1684656281
551	0.1682392439
552	0.1680186522
553	0.1678177016
554	0.1673615673
555	0.1668190508
556	0.1664286005
557	0.166216981
558	0.1657626901
559	0.1654943631
560	0.1652325484
561	0.1645691727
562	0.1643761601
563	0.1641506617
564	0.1640047097
565	0.1637959855
566	0.163441579
567	0.1630597991
568	0.162714303
569	0.1625527247
570	0.1618683531
571	0.1615668907
572	0.161279279
573	0.1608107268
574	0.1606386773
575	0.1603049498
576	0.1601399099
577	0.1599858268
578	0.1597966167
579	0.1596440251
580	0.1594394162
581	0.1592054926
582	0.1590179524
583	0.1587982147
584	0.1583452952
585	0.1582144345
586	0.157832372
587	0.1576594462
588	0.1574846306
589	0.156983463
590	0.1566866075
591	0.1565159379
592	0.1562630868
593	0.1559490919
594	0.1557557462
595	0.155510896
596	0.1552062959
597	0.1550033062
598	0.1548852255
599	0.154699061
600	0.1539824577
601	0.1537643806
602	0.1535534665
603	0.1531288203
604	0.1527113289
605	0.1524374236
606	0.1523192451
607	0.1520581839
608	0.1516771368
609	0.1513119989
610	0.1511278924
611	0.1509720994
612	0.1508679143
613	0.1504848618
614	0.1503359181
615	0.1500496688
616	0.1498526314
617	0.1497108848
618	0.1493879444
619	0.1489832229
620	0.1488005575
621	0.1485545693
622	0.1483316263
623	0.1482096446
624	0.1480385354
625	0.1478472503
626	0.1474782078
627	0.147249974
628	0.1470789354
629	0.146951011
630	0.1466082579
631	0.1462611366
632	0.1458055863
633	0.1455970203
634	0.1454125305
635	0.1451674827
636	0.1447437789
637	0.1444849154
638	0.1442970137
639	0.1441604983
640	0.1439380499
641	0.1436179028
642	0.1432235048
643	0.1427899927
644	0.142627473
645	0.142307134
646	0.1421391778
647	0.141845807
648	0.1416783533
649	0.1415585684
650	0.1413952736
651	0.1412438859
652	0.1411180352
653	0.1408528831
654	0.1406906098
655	0.1404526497
656	0.1401153419
657	0.1399176401
658	0.1396005539
659	0.1393291219
660	0.1391041875
661	0.1389097196
662	0.1386826449
663	0.138214156
664	0.1379089548
665	0.1375866836
666	0.1372939786
667	0.1370909797
668	0.1368949667
669	0.1366997341
670	0.1364490106
671	0.1363294024
672	0.1357142496
673	0.135561918
674	0.1353151245
675	0.1351962458
676	0.1350093404
677	0.1347814866
678	0.1343496128
679	0.1340453895
680	0.1338868288
681	0.1336380652
682	0.1334672253
683	0.1331870343
684	0.1328226639
685	0.1326862295
686	0.1325280541
687	0.132241376
688	0.132051923
689	0.1318832101
690	0.1317242319
691	0.1315125103
692	0.1311588698
693	0.1310009152
694	0.1307757649
695	0.1305037952
696	0.1302753524
697	0.1301051203
698	0.1299480128
699	0.1297573191
700	0.1295834218
701	0.1293502058
702	0.1291974947
703	0.1290749039
704	0.1288235795
705	0.1286379769
706	0.1284830619
707	0.1281687023
708	0.1277290644
709	0.1274674571
710	0.1272637586
711	0.1268624675
712	0.1266762873
713	0.1264415261
714	0.1262509425
715	0.1260315806
716	0.1258639337
717	0.1256594806
718	0.1255093135
719	0.1253966398
720	0.1252347587
721	0.1250623106
722	0.1247281547
723	0.1245306856
724	0.1243507863
725	0.1241206888
726	0.1239566044
727	0.1238369157
728	0.1235692041
729	0.1231890787
730	0.122875847
731	0.1226605399
732	0.1224822408
733	0.1222929623
734	0.1221711377
735	0.1221259666
736	0.1219716344
737	0.1217458215
738	0.1216138958
739	0.1215210802
740	0.1211608807
741	0.121038909
742	0.1208593939
743	0.1206741124
744	0.1204868223
745	0.1202923434
746	0.1200753292
747	0.1199517953
748	0.1198337402
749	0.1195832695
750	0.1194450415
751	0.1193473994
752	0.1189809239
753	0.1188795772
754	0.1186360067
755	0.1184964958
756	0.1183534463
757	0.1182158506
758	0.1180383214
759	0.1177946088
760	0.1174179669
761	0.1172092838
762	0.1170345005
763	0.1168813597
764	0.1167757966
765	0.1163979775
766	0.1162505203
767	0.1161659443
768	0.1159840923
769	0.1158233965
770	0.1156515968
771	0.11549908
772	0.1152640084
773	0.1147555006
774	0.1145237011
775	0.1143497662
776	0.114126995
777	0.1138638029
778	0.1137184697
779	0.113532218
780	0.1133897843
781	0.1132844785
782	0.1131328747
783	0.1129112163
784	0.112629198
785	0.1124299939
786	0.1121912479
787	0.1120363282
788	0.1119000133
789	0.1115908305
790	0.1113839053
791	0.1112906037
792	0.1111713212
793	0.1109862689
794	0.1107952431
795	0.110646731
796	0.1104468068
797	0.1102529894
798	0.1099848184
799	0.1098520326
800	0.1095360758
801	0.1093202971
802	0.109152036
803	0.1090864617
804	0.1089719235
805	0.1087750306
806	0.1087025619
807	0.1085001745
808	0.1082951381
809	0.1081268075
810	0.1079131243
811	0.1077643755
812	0.1076096819
813	0.1074326424
814	0.1073060882
815	0.1071170355
816	0.1070123586
817	0.1068703229
818	0.1068021293
819	0.1066562108
820	0.106599789
821	0.1065054643
822	0.1062976383
823	0.1061930431
824	0.1060503526
825	0.1058999834
826	0.1057288194
827	0.1056169956
828	0.105519775
829	0.1053481705
830	0.1052392823
831	0.1050294694
832	0.1047974711
833	0.10428247
834	0.1041296459
835	0.1040174511
836	0.1039270668
837	0.1036976987
838	0.103616638
839	0.1033790113
840	0.1031563948
841	0.1030345156
842	0.1028035213
843	0.102680868
844	0.102582137
845	0.1024050648
846	0.1022836801
847	0.1021521292
848	0.1020895316
849	0.1019435693
850	0.1018576864
851	0.101739931
852	0.1015433954
853	0.1013932266
854	0.101288248
855	0.1011225603
856	0.1010288966
857	0.1008391054
858	0.1006894909
859	0.1005261108
860	0.100452462
861	0.1001568178
862	0.1000662401
863	0.09993223147
864	0.09978157223
865	0.09964363764
866	0.0995215187
867	0.09934589467
868	0.09920158683
869	0.09904616898
870	0.09893719032
871	0.0987008935
872	0.09848991172
873	0.09835260959
874	0.09828907244
875	0.09815000707
876	0.09808152985
877	0.0979541456
878	0.09770105575
879	0.09757445686
880	0.09745457358
881	0.0972986974
882	0.09712410361
883	0.09706629636
884	0.09691168829
885	0.09673193386
886	0.0966048589
887	0.09645798743
888	0.0963030672
889	0.09621418358
890	0.09609051928
891	0.09583488725
892	0.09563806918
893	0.09546730596
894	0.09539281315
895	0.09517826656
896	0.09502317811
897	0.09490176423
898	0.09480444888
899	0.09470248026
900	0.09452008027
901	0.09442945375
902	0.09435433624
903	0.09407898502
904	0.09397789702
905	0.09390936345
906	0.09369901236
907	0.09359929434
908	0.093501742
909	0.09332563236
910	0.09327594131
911	0.09321111058
912	0.09305591708
913	0.09282306898
914	0.09265616721
915	0.09258117532
916	0.09241259577
917	0.09225296243
918	0.09209405774
919	0.09194880305
920	0.09182235691
921	0.09171314753
922	0.09159930873
923	0.09145678849
924	0.09134063665
925	0.09126812049
926	0.09109389845
927	0.09102220826
928	0.09090572919
929	0.09071821931
930	0.09060164509
931	0.09053985056
932	0.09044457995
933	0.09037138987
934	0.09027906432
935	0.09017013841
936	0.0899870025
937	0.08986399735
938	0.08962419359
939	0.08941553051
940	0.08932639284
941	0.08921965392
942	0.08909364826
943	0.08900402378
944	0.08884305414
945	0.08872250785
946	0.08846674363
947	0.08832227627
948	0.0882758714
949	0.08819921397
950	0.08805894605
951	0.08791664159
952	0.08782010549
953	0.08773277468
954	0.0875876329
955	0.0874525999
956	0.08730569881
957	0.08717744524
958	0.08697936067
959	0.08690998639
960	0.08673562651
961	0.08668174664
962	0.08662105285
963	0.08650996009
964	0.08641790835
965	0.0862444486
966	0.08614390404
967	0.08604840603
968	0.08599160806
969	0.08590186168
970	0.08574479003
971	0.0856871282
972	0.08551263651
973	0.08542728894
974	0.08529507635
975	0.08517975385
976	0.08494935368
977	0.08483956349
978	0.08470324423
979	0.08461633338
980	0.08449996769
981	0.08433851935
982	0.0841924628
983	0.08407412484
984	0.08397609303
985	0.08394667111
986	0.08383324959
987	0.0837468309
988	0.08361529115
989	0.08344119718
990	0.08332468173
991	0.08327797205
992	0.08320259934
993	0.08311091627
994	0.08303935751
995	0.08291703559
996	0.08282787687
997	0.08259678392
998	0.08248223495
999	0.08236031982
