iter	Passed	Remaining
504	20639	20230
505	20678	20188
506	20717	20144
507	20756	20102
508	20796	20061
509	20838	20020
510	20875	19976
511	20917	19937
512	20959	19897
513	20998	19854
514	21037	19812
515	21077	19770
516	21117	19729
517	21155	19684
518	21195	19644
519	21234	19601
520	21276	19560
521	21317	19520
522	21356	19478
523	21397	19437
524	21436	19395
525	21478	19355
526	21521	19315
527	21559	19272
528	21598	19230
529	21637	19188
530	21678	19147
531	21719	19106
532	21761	19066
533	21801	19025
534	21838	18981
535	21878	18939
536	21918	18897
537	21958	18856
538	21997	18813
539	22038	18773
540	22078	18731
541	22116	18689
542	22156	18647
543	22198	18607
544	22244	18570
545	22283	18529
546	22325	18488
547	22364	18446
548	22406	18406
549	22447	18366
550	22484	18322
551	22526	18282
552	22568	18242
553	22611	18203
554	22650	18161
555	22691	18120
556	22731	18078
557	22771	18037
558	22809	17994
559	22849	17953
560	22893	17914
561	22935	17875
562	22975	17833
563	23015	17792
564	23055	17750
565	23095	17709
566	23133	17666
567	23175	17626
568	23214	17584
569	23255	17543
570	23297	17503
571	23339	17463
572	23381	17424
573	23422	17383
574	23462	17342
575	23503	17301
576	23543	17259
577	23582	17217
578	23621	17175
579	23662	17134
580	23700	17092
581	23740	17050
582	23778	17007
583	23818	16966
584	23857	16924
585	23896	16882
586	23936	16841
587	23975	16799
588	24019	16760
589	24061	16720
590	24102	16680
591	24142	16638
592	24181	16596
593	24221	16555
594	24260	16513
595	24299	16471
596	24340	16430
597	24379	16388
598	24420	16348
599	24460	16307
600	24500	16266
601	24539	16223
602	24581	16183
603	24618	16140
604	24659	16099
605	24703	16061
606	24750	16024
607	24790	15983
608	24830	15942
609	24874	15903
610	24918	15864
611	24962	15825
612	25003	15785
613	25044	15744
614	25086	15704
615	25133	15667
616	25175	15627
617	25216	15586
618	25257	15546
619	25298	15505
620	25336	15462
621	25377	15422
622	25418	15381
623	25458	15340
624	25500	15300
625	25540	15259
626	25583	15219
627	25623	15177
628	25661	15135
629	25703	15095
630	25744	15054
631	25781	15011
632	25817	14968
633	25857	14927
634	25897	14885
635	25943	14847
636	25984	14807
637	26022	14765
638	26062	14723
639	26102	14682
640	26142	14641
641	26184	14601
642	26225	14560
643	26265	14519
644	26304	14477
645	26343	14436
646	26379	14392
647	26419	14351
648	26460	14310
649	26499	14268
650	26536	14226
651	26573	14183
652	26613	14141
653	26653	14101
654	26695	14061
655	26736	14020
656	26773	13977
657	26814	13936
658	26853	13895
659	26896	13855
660	26934	13813
661	26974	13772
662	27013	13731
663	27054	13690
664	27097	13650
665	27135	13608
666	27176	13567
667	27218	13528
668	27260	13487
669	27300	13446
670	27339	13404
671	27378	13363
672	27417	13321
673	27458	13281
674	27497	13239
675	27535	13197
676	27574	13155
677	27614	13114
678	27652	13073
679	27690	13030
680	27729	12989
681	27769	12948
682	27810	12907
683	27852	12867
684	27894	12827
685	27935	12786
686	27974	12745
687	28014	12704
688	28054	12663
689	28094	12622
690	28133	12580
691	28171	12538
692	28212	12498
693	28253	12457
694	28290	12415
695	28328	12373
696	28367	12332
697	28407	12290
698	28449	12250
699	28489	12209
700	28528	12168
701	28567	12126
702	28609	12086
703	28648	12045
704	28686	12003
705	28726	11962
706	28766	11921
707	28804	11879
708	28843	11838
709	28884	11797
710	28926	11757
711	28965	11716
712	29005	11675
713	29045	11634
714	29083	11592
715	29123	11551
716	29163	11510
717	29204	11470
718	29247	11430
719	29286	11389
720	29324	11347
721	29362	11305
722	29402	11264
723	29444	11224
724	29487	11184
725	29524	11143
726	29564	11102
727	29602	11060
728	29642	11019
729	29681	10978
730	29723	10937
731	29765	10897
732	29807	10857
733	29845	10815
734	29883	10774
735	29921	10732
736	29962	10692
737	30003	10651
738	30044	10611
739	30084	10570
740	30125	10529
741	30166	10489
742	30207	10448
743	30247	10407
744	30286	10366
745	30323	10324
746	30361	10283
747	30399	10241
748	30441	10201
749	30483	10161
750	30523	10120
751	30562	10079
752	30601	10038
753	30642	9997
754	30681	9956
755	30722	9915
756	30761	9874
757	30803	9834
758	30843	9793
759	30884	9752
760	30925	9712
761	30965	9671
762	31005	9630
763	31045	9589
764	31085	9549
765	31126	9508
766	31166	9467
767	31208	9427
768	31244	9385
769	31285	9344
770	31322	9303
771	31363	9262
772	31406	9222
773	31444	9181
774	31485	9140
775	31528	9100
776	31567	9059
777	31606	9018
778	31646	8978
779	31686	8937
780	31725	8896
781	31763	8854
782	31803	8814
783	31843	8773
784	31884	8732
785	31925	8692
786	31965	8651
787	32006	8610
788	32047	8570
789	32086	8529
790	32126	8488
791	32165	8447
792	32204	8406
793	32244	8365
794	32284	8325
795	32323	8284
796	32363	8243
797	32402	8202
798	32442	8161
799	32480	8120
800	32520	8079
801	32561	8038
802	32603	7998
803	32641	7957
804	32679	7916
805	32720	7875
806	32759	7834
807	32799	7793
808	32839	7753
809	32877	7712
810	32917	7671
811	32955	7630
812	32993	7589
813	33032	7548
814	33070	7506
815	33109	7465
816	33150	7425
817	33191	7384
818	33231	7344
819	33271	7303
820	33308	7262
821	33347	7221
822	33385	7180
823	33427	7139
824	33466	7098
825	33506	7058
826	33545	7017
827	33584	6976
828	33624	6935
829	33665	6895
830	33705	6854
831	33745	6813
832	33786	6773
833	33829	6733
834	33869	6692
835	33909	6652
836	33950	6611
837	33988	6570
838	34027	6529
839	34067	6489
840	34106	6448
841	34144	6407
842	34183	6366
843	34222	6325
844	34262	6284
845	34303	6244
846	34343	6203
847	34382	6162
848	34425	6122
849	34466	6082
850	34506	6041
851	34547	6001
852	34587	5960
853	34626	5919
854	34666	5879
855	34706	5838
856	34745	5797
857	34785	5756
858	34825	5716
859	34864	5675
860	34904	5634
861	34945	5594
862	34985	5553
863	35024	5513
864	35059	5471
865	35099	5431
866	35140	5390
867	35181	5350
868	35217	5308
869	35257	5268
870	35295	5227
871	35335	5186
872	35371	5145
873	35413	5105
874	35450	5064
875	35489	5023
876	35528	4982
877	35568	4942
878	35606	4901
879	35644	4860
880	35683	4819
881	35721	4779
882	35756	4737
883	35798	4697
884	35839	4657
885	35878	4616
886	35917	4575
887	35956	4535
888	35996	4494
889	36036	4453
890	36075	4413
891	36114	4372
892	36156	4332
893	36195	4291
894	36233	4250
895	36275	4210
896	36317	4170
897	36357	4129
898	36396	4089
899	36436	4048
900	36477	4008
901	36517	3967
902	36556	3926
903	36598	3886
904	36638	3846
905	36678	3805
906	36721	3765
907	36762	3724
908	36802	3684
909	36843	3643
910	36881	3603
911	36915	3562
912	36955	3521
913	36995	3480
914	37035	3440
915	37075	3399
916	37115	3359
917	37153	3318
918	37191	3278
919	37227	3237
920	37268	3196
921	37307	3156
922	37345	3115
923	37385	3074
924	37426	3034
925	37467	2994
926	37507	2953
927	37548	2913
928	37589	2872
929	37631	2832
930	37670	2791
931	37711	2751
932	37753	2711
933	37793	2670
934	37833	2630
935	37874	2589
936	37911	2548
937	37952	2508
938	37991	2468
939	38032	2427
940	38072	2387
941	38108	2346
942	38152	2306
943	38193	2265
944	38234	2225
945	38273	2184
946	38311	2144
947	38353	2103
948	38395	2063
949	38436	2022
950	38474	1982
951	38515	1941
952	38552	1901
953	38590	1860
954	38629	1820
955	38671	1779
956	38712	1739
957	38750	1698
958	38788	1658
959	38827	1617
960	38865	1577
961	38907	1536
962	38947	1496
963	38989	1456
964	39028	1415
965	39067	1375
966	39109	1334
967	39152	1294
968	39192	1253
969	39235	1213
970	39275	1172
971	39315	1132
972	39354	1092
973	39395	1051
974	39436	1011
975	39475	970
976	39515	930
977	39554	889
978	39595	849
979	39634	808
980	39672	768
981	39712	727
982	39752	687
983	39793	647
984	39833	606
985	39877	566
986	39917	525
987	39957	485
988	39993	444
989	40031	404
990	40071	363
991	40112	323
992	40152	283
993	40194	242
994	40233	202
995	40272	161
996	40312	121
997	40351	80
998	40392	40
999	40433	0
